month,month_num,year,collection,sell,difference,diff_pct,sell_L,coll_L,quarter
Jan,1,2024,1606474,1606703,229,0.0,16.07,16.06,Q1
Feb,2,2024,1084329,981981,-102348,-9.4,9.82,10.84,Q1
Mar,3,2024,1034395,1140340,105945,10.2,11.4,10.34,Q1
Apr,4,2024,1055722,940390,-115332,-10.9,9.4,10.56,Q2
May,5,2024,1308870,1461639,152769,11.7,14.62,13.09,Q2
Jun,6,2024,1339195,1461639,122444,9.1,14.62,13.39,Q2
Jul,7,2024,1238144,1236975,-1169,-0.1,12.37,12.38,Q3
Aug,8,2024,914813,1023095,108282,11.8,10.23,9.15,Q3
Sep,9,2024,774970,958870,183900,23.7,9.59,7.75,Q3
Oct,10,2024,929965,986390,56425,6.1,9.86,9.3,Q4
Nov,11,2024,1472745,1313050,-159695,-10.8,13.13,14.73,Q4
Dec,12,2024,1481232,1393645,-87587,-5.9,13.94,14.81,Q4
Jan,1,2025,1437385,1493496,56111,3.9,14.93,14.37,Q1
Feb,2,2025,852705,826287,-26418,-3.1,8.26,8.53,Q1
Mar,3,2025,721015,740890,19875,2.8,7.41,7.21,Q1
Apr,4,2025,703980,704877,897,0.1,7.05,7.04,Q2
May,5,2025,571390,586120,14730,2.6,5.86,5.71,Q2
Jun,6,2025,614800,519845,-94955,-15.4,5.2,6.15,Q2
Jul,7,2025,749455,785481,36026,4.8,7.85,7.49,Q3
Aug,8,2025,583985,596710,12725,2.2,5.97,5.84,Q3
Sep,9,2025,393329,351784,-41545,-10.6,3.52,3.93,Q3
Oct,10,2025,604960,623785,18825,3.1,6.24,6.05,Q4
Nov,11,2025,625830,700800,74970,12.0,7.01,6.26,Q4
Dec,12,2025,766830,800800,33970,4.4,8.01,7.67,Q4
